Position;Const;Created;gender;Name;Known For;Birth Date
345;nm1880888;2014-03-10;F;Olivia Thirlby;Juno;1986-10-06
346;nm0000333;2014-03-10;F;Cher;Moonstruck;1946-05-20
347;nm0000651;2014-03-09;F;Sissy Spacek;In the Bedroom;1949-12-25
348;nm0001221;2014-03-10;F;Louise Fletcher;One Flew Over the Cuckoo's Nest;1934-07-22
349;nm0001046;2014-03-10;F;Julie Christie;Doctor Zhivago;1940-04-14
350;nm0623658;2014-03-10;F;Patricia Neal;Hud;1926-01-20
351;nm0628955;2014-03-10;M;Haing S. Ngor;The Killing Fields;1940-03-22
352;nm0001283;2014-03-10;M;Louis Gossett Jr.;An Officer and a Gentleman;1936-05-27
353;nm0000024;2014-03-10;M;John Gielgud;Arthur;1904-04-14
354;nm0000459;2014-03-10;M;Timothy Hutton;Ordinary People;1960-08-16
355;nm0002048;2014-03-10;M;Melvyn Douglas;Being There;1901-04-05
356;nm0001673;2014-03-10;M;Jason Robards;All the President's Men;1922-07-26
357;nm0122675;2014-03-10;M;George Burns;Oh, God!;1896-01-20
358;nm0000288;2014-03-09;M;Christian Bale;The Dark Knight;1974-01-30
359;nm0000160;2014-03-10;M;Ethan Hawke;Training Day;1970-11-06
360;nm0424565;2014-03-10;M;Ben Johnson;The Last Picture Show;1918-06-13
361;nm0590055;2014-03-10;M;John Mills;Great Expectations;1908-02-22
362;nm0016776;2014-03-10;M;Jack Albertson;Willy Wonka & the Chocolate Factory;1907-06-16
363;nm0000576;2014-03-09;M;Sean Penn;Mystic River;1960-08-17
364;nm0001421;2014-03-10;M;George Kennedy;Cool Hand Luke;1925-02-18
365;nm0000527;2014-03-10;M;Walter Matthau;The Odd Couple;1920-10-01
366;nm0000842;2014-03-10;M;Martin Balsam;All the President's Men;1919-11-04
367;nm0001811;2014-03-10;M;Peter Ustinov;Spartacus;1921-04-16
368;nm0003225;2014-03-10;M;Ed Begley;12 Angry Men;1901-03-25
369;nm0001995;2014-03-10;M;George Chakiris;West Side Story;1932-09-16
370;nm0341518;2014-03-10;M;Hugh Griffith;Ben-Hur;1912-05-30
371;nm0412322;2014-03-10;M;Burl Ives;The Big Country;1909-06-14
372;nm0000999;2014-03-10;M;Red Buttons;The Poseidon Adventure;1919-02-05
373;nm0639529;2014-03-10;M;Edmond O'Brien;The Man Who Shot Liberty Valance;1915-09-10
374;nm0695435;2015-03-08;M;Chris Pratt;Guardians of the Galaxy;1979-06-21
375;nm0000069;2014-03-10;M;Frank Sinatra;The Manchurian Candidate;1915-12-12
376;nm0000843;2014-03-10;F;Anne Bancroft;The Graduate;1931-09-17
377;nm0001571;2014-03-10;F;Kim Novak;Vertigo;1933-02-13
378;nm0797531;2014-03-10;F;Simone Signoret;Les diaboliques;1921-03-25
379;nm0680983;2014-03-10;F;Elliot Page;Juno;1987-02-21
380;nm0001450;2017-09-16;F;Angela Lansbury;The Manchurian Candidate;1925-10-16
381;nm0391062;2014-03-10;F;Judy Holliday;Born Yesterday;1921-06-21
382;nm0949835;2014-03-10;F;Loretta Young;The Stranger;1913-01-06
383;nm0429250;2014-03-10;F;Shirley Jones;The Music Man;1934-03-31
384;nm0267812;2014-03-10;F;Vera Farmiga;Up in the Air;1973-08-06
385;nm0371040;2014-03-10;F;Helen Hayes;Airport;1900-10-10
386;nm0237597;2014-03-10;F;Marie Dressler;Dinner at Eight;1868-11-09
387;nm0310980;2014-03-10;F;Janet Gaynor;A Star Is Born;1906-10-06
388;nm2143282;2014-03-10;F;Lupita Nyong'o;12 Years a Slave;1983-03-01
389;nm0818055;2014-03-10;F;Octavia Spencer;Hidden Figures;1970-05-25
390;nm0502425;2014-03-10;F;Melissa Leo;The Fighter;1960-09-14
391;nm0594898;2014-03-10;F;Mo'Nique;Precious;1967-12-11
392;nm0559144;2014-03-10;F;Marlee Matlin;CODA;1965-08-24
393;nm0842770;2014-03-10;F;Tilda Swinton;We Need to Talk About Kevin;1960-11-05
394;nm1617685;2014-03-10;F;Jennifer Hudson;Dreamgirls;1981-09-12
395;nm0000250;2014-03-10;F;Renée Zellweger;Chicago;1969-04-25
396;nm0001315;2014-03-10;F;Marcia Gay Harden;Mystic River;1959-08-14
397;nm0001593;2014-03-10;F;Anna Paquin;The Piano;1982-07-24
398;nm0000673;2014-03-10;F;Marisa Tomei;My Cousin Vinny;1964-12-04
399;nm0001689;2014-03-10;F;Mercedes Ruehl;The Fisher King;1948-02-28
400;nm0002084;2014-03-10;F;Brenda Fricker;My Left Foot: The Story of Christy Brown;1945-02-17
401;nm0000606;2016-06-18;M;Jean Reno;Léon;1948-07-30
402;nm0001695;2014-03-10;M;George Sanders;All About Eve;1906-07-03
403;nm0415591;2014-03-10;M;Dean Jagger;White Christmas;1903-11-07
404;nm0404158;2014-03-10;M;Walter Huston;The Treasure of the Sierra Madre;1883-04-05
405;nm0350324;2014-03-10;M;Edmund Gwenn;Miracle on 34th Street;1877-09-26
406;nm0751174;2014-03-10;M;Harold Russell;The Best Years of Our Lives;1914-01-14
407;nm0000424;2014-03-10;M;Hugh Grant;Love Actually;1960-09-09
408;nm0280178;2014-03-10;M;Barry Fitzgerald;The Quiet Man;1888-03-10
409;nm0002013;2014-03-10;M;Charles Coburn;The More the Merrier;1877-06-19
410;nm0001336;2014-03-10;M;Van Heflin;Shane;1908-12-13
411;nm0187981;2014-03-10;M;Donald Crisp;How Green Was My Valley;1882-07-27
412;nm0593775;2014-03-10;M;Thomas Mitchell;Stagecoach;1892-07-11
413;nm0000974;2014-03-10;M;Walter Brennan;The Westerner;1894-07-25
414;nm0771584;2014-03-10;M;Joseph Schildkraut;The Shop Around the Corner;1896-03-22
415;nm0000206;2014-03-10;M;Keanu Reeves;The Matrix;1964-09-02
416;nm1475594;2014-03-10;M;Channing Tatum;21 Jump Street;1980-04-26
417;nm0413168;2014-03-10;M;Hugh Jackman;Les Misérables;1968-10-12
418;nm0425005;2014-03-10;M;Dwayne Johnson;Black Adam;1972-05-02
419;nm0001191;2014-03-10;M;Adam Sandler;The Waterboy;1966-09-09
420;nm0705356;2014-03-10;M;Daniel Radcliffe;Harry Potter and the Deathly Hallows: Part 2;1989-07-23
421;nm0185819;2014-03-10;M;Daniel Craig;Casino Royale;1968-03-02
422;nm0147147;2014-03-09;M;Henry Cavill;Man of Steel;1983-05-05
423;nm0004874;2014-03-10;M;Vin Diesel;Guardians of the Galaxy;1967-07-18
424;nm0000255;2014-03-10;M;Ben Affleck;Argo;1972-08-15
425;nm1517976;2014-03-10;M;Chris Pine;Star Trek;1980-08-26
426;nm0001156;2014-03-10;F;Olympia Dukakis;Moonstruck;1931-06-20
427;nm0001919;2014-03-10;F;Peggy Ashcroft;A Passage to India;1907-12-22
428;nm0001373;2014-03-10;F;Linda Hunt;The Year of Living Dangerously;1945-04-02
429;nm0822972;2014-03-10;F;Maureen Stapleton;Reds;1925-06-21
430;nm0005460;2014-03-10;F;Mary Steenburgen;Last Vegas;1953-02-08
431;nm0833152;2014-03-10;F;Beatrice Straight;Network;1914-08-02
432;nm0000603;2014-03-10;F;Vanessa Redgrave;Coriolanus;1937-01-30
433;nm0335519;2014-03-10;F;Lee Grant;In the Heat of the Night;1925-10-31
434;nm0373012;2014-03-10;F;Eileen Heckart;The Bad Seed;1919-03-29
435;nm0001458;2014-03-10;F;Cloris Leachman;The Last Picture Show;1926-04-30
436;nm0002106;2014-03-10;F;Ruth Gordon;Rosemary's Baby;1896-10-30
437;nm0663820;2014-03-10;F;Estelle Parsons;Bonnie and Clyde;1927-11-20
438;nm0006800;2014-03-10;F;Sandy Dennis;Who's Afraid of Virginia Woolf?;1937-04-27
439;nm0001859;2014-03-10;F;Shelley Winters;The Poseidon Adventure;1920-08-18
440;nm0350454;2014-03-10;F;Maggie Gyllenhaal;Secretary;1977-11-16
441;nm0005017;2014-03-10;F;Katie Holmes;Batman Begins;1978-12-18
442;nm0001157;2014-03-10;F;Patty Duke;Valley of the Dolls;1946-12-14
443;nm0001549;2014-03-10;F;Rita Moreno;West Side Story;1931-12-11
444;nm0384908;2014-03-10;F;Wendy Hiller;A Man for All Seasons;1912-08-15
445;nm0880855;2014-03-10;F;Miyoshi Umeki;Sayonara;1929-05-08
446;nm0540416;2014-03-10;F;Dorothy Malone;Written on the Wind;1924-01-29
447;nm0886888;2014-03-10;F;Jo Van Fleet;East of Eden;1915-12-29
448;nm0001693;2014-03-10;F;Eva Marie Saint;On the Waterfront;1924-07-04
449;nm0002108;2014-03-10;F;Gloria Grahame;In a Lonely Place;1923-11-28
450;nm0001375;2014-03-10;F;Kim Hunter;A Streetcar Named Desire;1922-11-12
451;nm0002011;2019-04-12;M;Lee J. Cobb;12 Angry Men;1911-12-08
452;nm1940449;2014-03-10;M;Andrew Garfield;Hacksaw Ridge;1983-08-20
453;nm0001030;2019-04-12;M;John Cazale;Dog Day Afternoon;1935-08-12
454;nm0719637;2014-03-10;M;Jeremy Renner;The Hurt Locker;1971-01-07
455;nm0136797;2014-03-10;M;Steve Carell;The Office;1962-08-16
456;nm0241121;2014-03-09;M;Jean Dujardin;The Artist;1972-06-19
457;nm0262635;2014-03-10;M;Chris Evans;The Avengers;1981-06-13
458;nm0290556;2014-03-10;M;James Franco;Spring Breakers;1978-04-19
459;nm0302108;2014-03-10;M;Zach Galifianakis;The Hangover;1969-10-01
460;nm0002071;2014-03-10;M;Will Ferrell;Talladega Nights: The Ballad of Ricky Bobby;1967-07-16
461;nm0479471;2014-03-10;M;Shia LaBeouf;Honey Boy;1986-06-11
462;nm0736622;2014-03-10;M;Seth Rogen;This Is the End;1982-04-15
463;nm0330687;2014-03-10;M;Joseph Gordon-Levitt;Inception;1981-02-17
464;nm0005351;2014-03-10;M;Ryan Reynolds;Deadpool 2;1976-10-23
465;nm0748620;2014-03-10;M;Paul Rudd;Ant-Man;1969-04-06
466;nm0781981;2014-03-10;M;Jason Segel;Forgetting Sarah Marshall;1980-01-18
467;nm0005458;2014-03-10;M;Jason Statham;Crank;1967-07-26
468;nm0001813;2016-06-18;M;Dick Van Dyke;Mary Poppins;1925-12-13
469;nm0251986;2014-03-10;M;Jesse Eisenberg;The Social Network;1983-10-05
470;nm0005562;2014-03-10;M;Owen Wilson;The Royal Tenenbaums;1968-11-18
471;nm0000867;2014-03-10;M;Jason Bateman;Arrested Development;1969-01-14
472;nm1347153;2014-03-10;M;Tyler Perry;Diary of a Mad Black Woman;1969-09-14
473;nm2955013;2014-03-10;M;Liam Hemsworth;The Hunger Games;1990-01-13
474;nm0000638;2014-03-10;M;William Shatner;Star Trek V: The Final Frontier;1931-03-22
475;nm0000698;2014-03-09;M;Gene Wilder;Willy Wonka & the Chocolate Factory;1933-06-11
476;nm0000301;2014-03-10;F;Thora Birch;Ghost World;1982-03-11
477;nm0872456;2014-03-10;F;Claire Trevor;Key Largo;1910-03-08
478;nm0002141;2014-03-10;F;Celeste Holm;All About Eve;1917-04-29
479;nm0000879;2014-03-10;F;Anne Baxter;All About Eve;1923-05-07
480;nm0001451;2014-03-10;F;Queen Latifah;Chicago;1970-03-18
481;nm0000856;2014-03-10;F;Ethel Barrymore;None But the Lonely Heart;1879-08-15
482;nm0206257;2014-03-10;F;Rosario Dawson;Rent;1979-05-09
483;nm0942863;2014-03-10;F;Teresa Wright;Shadow of a Doubt;1918-10-27
484;nm0000802;2014-03-10;F;Mary Astor;The Maltese Falcon;1906-05-03
485;nm0002034;2014-03-10;F;Jane Darwell;The Grapes of Wrath;1879-10-15
486;nm2539953;2016-06-18;F;Alicia Vikander;Ex Machina;1988-10-03
487;nm1985859;2014-03-10;F;Mia Wasikowska;Alice in Wonderland;1989-10-25
488;nm1113550;2014-03-10;F;Abigail Breslin;Little Miss Sunshine;1996-04-14
489;nm0814216;2014-03-10;F;Gale Sondergaard;The Mark of Zorro;1899-02-15
490;nm0565250;2014-03-10;F;Melissa McCarthy;The Heat;1970-08-26
491;nm0275486;2014-03-10;F;Tina Fey;Date Night;1970-05-18
492;nm0757855;2014-03-10;F;Zoe Saldana;Guardians of the Galaxy;1978-06-19
493;nm0005253;2014-03-10;F;Elisabeth Moss;The Invisible Man;1982-07-24
494;nm1597316;2014-03-10;F;Adrianne Palicki;G.I. Joe: Retaliation;1983-05-06
495;nm0004950;2014-03-10;F;Jennifer Garner;Alias;1972-04-17
496;nm1325419;2014-03-10;F;Kristen Wiig;Bridesmaids;1973-08-22
497;nm0820053;2014-03-10;F;June Squibb;Nebraska;1929-11-06
498;nm1020089;2014-03-10;F;Sally Hawkins;The Shape of Water;1976-04-27
499;nm0192505;2014-03-10;F;Kaley Cuoco;The Big Bang Theory;1985-11-30
500;nm0915208;2014-03-10;F;Naomi Watts;Mulholland Dr.;1968-09-28
501;nm1500155;2019-03-19;M;Robert Pattinson;Twilight;1986-05-13
502;nm0402271;2014-03-10;M;Charlie Hunnam;Sons of Anarchy;1980-04-10
503;nm0396558;2014-03-10;M;Nicholas Hoult;About a Boy;1989-12-07
504;nm1093951;2014-03-10;M;Aaron Taylor-Johnson;Kick-Ass;1990-06-13
505;nm0186505;2014-03-10;M;Bryan Cranston;Breaking Bad;1956-03-07
506;nm0124930;2014-03-10;M;Gerard Butler;300;1969-11-13
507;nm0908094;2014-03-10;M;Paul Walker;The Fast and the Furious;1973-09-12
508;nm0881631;2014-03-10;M;Karl Urban;Star Trek;1972-06-07
509;nm0503567;2014-03-10;M;Logan Lerman;The Perks of Being a Wallflower;1992-01-19
510;nm2002649;2014-03-10;M;Dave Franco;Neighbors;1985-06-12
511;nm1089991;2014-03-10;M;Tom Hiddleston;The Avengers;1981-02-09
512;nm0227759;2014-03-10;M;Peter Dinklage;Game of Thrones;1969-06-11
513;nm2018237;2014-03-10;M;Taylor Kitsch;X-Men Origins: Wolverine;1981-04-08
514;nm0001570;2019-04-12;M;Edward Norton;Fight Club;1969-08-18
515;nm0001602;2014-03-10;M;Guy Pearce;Memento;1967-10-05
516;nm0749263;2014-03-10;M;Mark Ruffalo;Spotlight;1967-11-22
517;nm0000620;2014-03-10;M;Mickey Rourke;Sin City;1952-09-16
518;nm0001449;2014-03-10;M;Frank Langella;Frost/Nixon;1938-01-01
519;nm1519666;2015-03-08;M;Eddie Redmayne;Les Misérables;1982-01-06
520;nm0000657;2014-03-10;M;David Strathairn;Good Night, and Good Luck.;1949-01-26
521;nm0005024;2014-03-10;M;Terrence Howard;Crash;1969-03-11
522;nm0000146;2014-03-09;M;Ralph Fiennes;The Grand Budapest Hotel;1962-12-22
523;nm0929489;2014-03-10;M;Tom Wilkinson;Michael Clayton;1948-02-05
524;nm0002070;2014-03-10;M;Richard Farnsworth;The Straight Story;1920-09-01
525;nm0000560;2014-03-10;M;Nick Nolte;Warrior;1941-02-08
526;nm1455681;2014-03-10;F;AnnaSophia Robb;Bridge to Terabithia;1993-12-08
527;nm2605345;2014-03-10;F;Gemma Arterton;Prince of Persia: The Sands of Time;1986-02-02
528;nm1312575;2014-03-10;F;Olivia Wilde;Tron;1984-03-10
529;nm0279545;2014-03-10;F;Isla Fisher;Wedding Crashers;1976-02-03
530;nm0940362;2014-03-10;F;Shailene Woodley;Big Little Lies;1991-11-15
531;nm2313103;2014-03-10;F;Rebel Wilson;Senior Year;1980-03-02
532;nm0731075;2014-03-10;F;Emma Roberts;We're the Millers;1991-02-10
533;nm1720028;2014-03-10;F;Amber Heard;Aquaman;1986-04-22
534;nm1954240;2014-03-10;F;Teresa Palmer;Warm Bodies;1986-02-26
535;nm1519680;2014-03-10;F;Saoirse Ronan;Hanna;1994-04-12
536;nm0006969;2014-03-10;F;Elizabeth Banks;The Hunger Games;1974-02-10
537;nm0526946;2017-09-16;F;Ida Lupino;High Sierra;1918-02-04
538;nm1754059;2014-03-10;F;Natalie Dormer;Game of Thrones;1982-02-11
539;nm0811242;2014-03-10;F;Brittany Snow;Pitch Perfect;1986-03-09
540;nm0544718;2014-03-10;F;Kate Mara;Fantastic Four;1983-02-27
541;nm2584600;2014-03-10;F;Julianne Hough;Rock of Ages;1988-07-20
542;nm2934314;2014-03-10;F;Lily Collins;The Mortal Instruments: City of Bones;1989-03-18
543;nm1130627;2014-03-10;F;Cobie Smulders;Safe Haven;1982-04-03
544;nm1404408;2014-03-10;F;Alice Eve;Before We Go;1982-02-06
545;nm1512166;2014-03-10;F;Jamie Chung;Big Hero 6;1983-04-10
546;nm0636426;2014-03-10;F;Noomi Rapace;Män som hatar kvinnor;1979-12-28
547;nm0515116;2014-03-10;F;Blake Lively;Gossip Girl;1987-08-25
548;nm1192254;2014-03-10;F;Maggie Grace;Taken;1983-09-21
549;nm0004754;2014-03-10;F;Jessica Biel;The Illusionist;1982-03-03
550;nm1200692;2014-03-10;F;Eva Green;Casino Royale;1980-07-06
551;nm0001228;2014-03-10;F;Peter Fonda;Easy Rider;1940-02-23
552;nm0000437;2014-03-10;M;Woody Harrelson;True Detective;1961-07-23
553;nm0000671;2014-03-10;M;Billy Bob Thornton;Sling Blade;1955-08-04
554;nm0252961;2014-03-10;M;Idris Elba;Beasts of No Nation;1972-09-06
555;nm0001329;2014-03-10;M;Nigel Hawthorne;The Madness of King George;1929-04-05
556;nm0000401;2014-03-10;M;Laurence Fishburne;The Matrix;1961-07-30
557;nm0001653;2014-03-10;M;Stephen Rea;The Crying Game;1946-10-31
558;nm0000886;2014-03-10;M;Warren Beatty;Reds;1937-03-30
559;nm0001321;2014-03-10;M;Richard Harris;Unforgiven;1930-10-01
560;nm0000131;2014-03-09;M;John Cusack;Grosse Pointe Blank;1966-06-28
561;nm0000110;2014-03-10;M;Kenneth Branagh;Henry V;1960-12-10
562;nm0001579;2014-03-10;M;Edward James Olmos;Battlestar Galactica;1947-02-24
563;nm0001884;2014-03-10;M;Max von Sydow;Flash Gordon;1929-04-10
564;nm0001136;2015-04-03;M;Bruce Dern;Nebraska;1936-06-04
565;nm0001364;2014-03-10;M;Bob Hoskins;The Long Good Friday;1942-10-26
566;nm0000249;2014-03-10;M;James Woods;Vampires;1947-04-18
567;nm0370035;2014-03-10;M;John Hawkes;The Sessions;1959-09-11
568;nm0001258;2014-03-10;M;James Garner;The Notebook;1928-04-07
569;nm0001832;2014-03-10;M;Sam Waterston;The Killing Fields;1940-11-15
570;nm0001371;2014-03-10;M;Tom Hulce;Amadeus;1953-12-06
571;nm0001215;2014-03-10;M;Albert Finney;Murder on the Orient Express;1936-05-09
572;nm0002018;2014-03-10;M;Tom Conti;Merry Christmas, Mr. Lawrence;1941-11-22
573;nm0183822;2014-03-10;M;Tom Courtenay;45 Years;1937-02-25
574;nm0001545;2014-03-10;M;Dudley Moore;Arthur;1935-04-19
575;nm0000457;2014-03-10;M;John Hurt;Nineteen Eighty-Four;1940-01-22
576;nm0993507;2014-03-10;F;Kat Dennings;Nick and Norah's Infinite Playlist;1986-06-13
577;nm1231899;2017-09-16;F;Priyanka Chopra Jonas;Baywatch;1982-07-18
578;nm0728938;2014-03-10;F;Emmanuelle Riva;Hiroshima mon amour;1927-02-24
579;nm1950086;2014-03-10;F;Greta Gerwig;Lady Bird;1983-08-04
580;nm0488953;2014-03-10;F;Brie Larson;Room;1989-10-01
581;nm1140300;2014-03-10;F;Jessica Lucas;The Covenant;1985-09-24
582;nm0266029;2014-03-10;F;Maria Falconetti;La passion de Jeanne d'Arc;1892-07-21
583;nm0002093;2014-03-09;F;Greer Garson;Pride and Prejudice;1904-09-29
584;nm0751426;2014-03-10;F;Rosalind Russell;Auntie Mame;1907-06-04
585;nm0000079;2014-03-09;F;Raquel Welch;The Three Musketeers;1940-09-05
586;nm0000400;2014-03-10;F;Linda Fiorentino;The Last Seduction;1958-03-09
587;nm2829737;2014-03-10;F;Gabourey Sidibe;Precious;1983-05-06
588;nm0001114;2014-03-09;F;Judy Davis;Husbands and Wives;1955-04-23
589;nm0001201;2014-03-10;F;Mia Farrow;Rosemary's Baby;1945-02-09
590;nm0851582;2014-03-10;F;Audrey Tautou;Le fabuleux destin d'Amélie Poulain;1976-08-09
591;nm0603402;2014-03-10;F;Jeanne Moreau;Jules et Jim;1928-01-23
592;nm0943837;2014-03-09;F;Jane Wyman;The Blue Veil;1917-01-05
593;nm0001687;2014-03-10;F;Gena Rowlands;The Notebook;1930-06-19
594;nm0544334;2014-03-10;F;Lesley Manville;Phantom Thread;1956-03-12
595;nm0647634;2014-03-10;F;Elizabeth Olsen;Martha Marcy May Marlene;1989-02-16
596;nm0000176;2014-03-10;F;Nastassja Kinski;Tess;1961-01-24
597;nm0491259;2014-03-10;F;Mélanie Laurent;Inglourious Basterds;1983-02-21
598;nm0001365;2014-03-10;F;Whitney Houston;The Bodyguard;1963-08-09
599;nm0005031;2014-03-10;F;Felicity Huffman;Transamerica;1962-12-09
600;nm0001767;2014-03-10;F;Imelda Staunton;Vera Drake;1956-01-09
601;nm1209966;2014-03-10;M;Oscar Isaac;Ex Machina;1979-03-09
602;nm1417647;2014-03-10;M;Jon Heder;Napoleon Dynamite;1977-10-26
603;nm1886602;2014-03-10;M;Miles Teller;Whiplash;1987-02-20
604;nm0117709;2014-03-10;M;Daniel Brühl;Rush;1978-06-16
605;nm0001254;2014-03-10;M;James Gandolfini;The Sopranos;1961-09-18
606;nm0430107;2014-03-10;M;Michael B. Jordan;Black Panther;1987-02-09
607;nm0000578;2014-03-10;M;Anthony Perkins;Psycho;1932-04-04
608;nm0000667;2014-03-10;M;David Thewlis;Naked;1963-03-20
609;nm0001428;2014-03-10;M;Klaus Kinski;Nosferatu: Phantom der Nacht;1926-10-18
610;nm0000532;2014-03-10;M;Malcolm McDowell;A Clockwork Orange;1943-06-13
611;nm0935653;2014-03-10;M;Ray Winstone;The Departed;1957-02-19
612;nm0000901;2014-03-10;M;Jean-Paul Belmondo;Pierrot le fou;1933-04-09
613;nm0785227;2014-03-10;M;Andy Serkis;War for the Planet of the Apes;1964-04-20
614;nm0000111;2014-03-10;M;Matthew Broderick;The Producers;1962-03-21
615;nm0000454;2014-03-10;M;Dennis Hopper;Easy Rider;1936-05-17
616;nm0740264;2014-03-10;M;Michael Rooker;Guardians of the Galaxy;1955-04-06
617;nm0001252;2014-03-10;M;Vincent Gallo;Buffalo '66;1961-04-11
618;nm0000228;2014-03-09;M;Kevin Spacey;The Usual Suspects;1959-07-26
619;nm0001993;2014-03-10;M;Vincent Cassel;Black Swan;1966-11-23
620;nm0799777;2015-03-08;M;J.K. Simmons;Whiplash;1955-01-09
621;nm0000472;2014-03-10;M;Boris Karloff;Bride of Frankenstein;1887-11-23
622;nm0000048;2014-03-10;M;Peter Lorre;M - Eine Stadt sucht einen Mörder;1904-06-26
623;nm0000190;2015-08-13;M;Matthew McConaughey;Dallas Buyers Club;1969-11-04
624;nm0175916;2014-03-10;M;Paddy Considine;Dead Man's Shoes;1973-09-05
625;nm0000202;2014-03-10;M;Ryan Phillippe;Gosford Park;1974-09-10
626;nm0913488;2014-03-10;F;Kerry Washington;Scandal;1977-01-31
627;nm0005251;2014-03-10;F;Carrie-Anne Moss;The Matrix;1967-08-21
628;nm0001463;2014-03-10;F;Janet Leigh;Psycho;1927-07-06
629;nm1503432;2014-03-10;F;Catalina Sandino Moreno;Maria Full of Grace;1981-04-19
630;nm0608090;2014-03-10;F;Samantha Morton;Minority Report;1977-05-13
631;nm1095720;2014-03-10;F;Keisha Castle-Hughes;Whale Rider;1990-03-24
632;nm0001766;2014-03-09;F;Barbara Stanwyck;Double Indemnity;1907-07-16
633;nm0000260;2014-03-10;F;Joan Allen;Room;1956-08-20
634;nm0005216;2014-03-10;F;Janet McTeer;Albert Nobbs;1961-08-05
635;nm0005244;2014-03-10;F;Fernanda Montenegro;Central do Brasil;1929-10-16
636;nm0000218;2014-03-10;F;Kristin Scott Thomas;Gosford Park;1960-05-24
637;nm0000950;2014-03-10;F;Brenda Blethyn;Pride & Prejudice;1946-02-20
638;nm0000223;2014-03-10;F;Elisabeth Shue;Leaving Las Vegas;1963-10-06
639;nm0001669;2014-03-10;F;Miranda Richardson;The Crying Game;1958-03-03
640;nm0000330;2014-03-10;F;Stockard Channing;Practical Magic;1944-02-13
641;nm0707023;2014-03-09;F;Luise Rainer;The Great Ziegfeld;1910-01-12
642;nm0001521;2014-03-10;F;Mary McDonnell;Battlestar Galactica;1952-04-28
643;nm0000840;2017-09-16;F;Lucille Ball;I Love Lucy;1911-08-06
644;nm0000368;2014-03-10;F;Laura Dern;Jurassic Park;1967-02-10
645;nm0172604;2014-03-10;F;Pauline Collins;Shirley Valentine;1940-09-03
646;nm0000254;2014-03-10;F;Isabelle Adjani;Possession;1955-06-27
647;nm0000429;2014-03-10;F;Melanie Griffith;Working Girl;1957-08-09
648;nm0000476;2014-03-10;F;Sally Kirkland;Anna;1941-10-31
649;nm0000737;2014-03-10;F;Jane Alexander;Kramer vs. Kramer;1939-10-28
650;nm0556850;2014-03-10;F;Marsha Mason;The Goodbye Girl;1942-04-03
651;nm0383603;2014-03-10;M;Freddie Highmore;Finding Neverland;1992-02-14
652;nm0000150;2014-03-10;M;Michael J. Fox;Back to the Future;1961-06-09
653;nm0000237;2014-03-09;M;John Travolta;Pulp Fiction;1954-02-18
654;nm0000334;2016-06-18;M;Chow Yun-Fat;Wo hu cang long;1955-05-18
655;nm0532235;2014-03-10;M;Seth MacFarlane;Family Guy;1973-10-26
656;nm0001472;2014-03-10;M;Jet Li;Huo Yuan Jia;1963-04-26
657;nm0002144;2014-03-10;M;John Houseman;The Paper Chase;1902-09-22
658;nm0001569;2014-03-10;M;Chuck Norris;Walker, Texas Ranger;1940-03-10
659;nm0000241;2014-03-10;M;Jean-Claude Van Damme;Double Impact;1960-10-18
660;nm0005377;2014-03-10;M;Sam Rockwell;Moon;1968-11-05
661;nm0793766;2014-03-10;M;Takashi Shimura;Shichinin no samurai;1905-03-12
662;nm0001290;2014-03-10;M;Richard E. Grant;Gosford Park;1957-05-05
663;nm0000558;2014-03-10;M;Leslie Nielsen;Airplane!;1926-02-11
664;nm0670408;2014-03-10;M;Simon Pegg;The World's End;1970-02-14
665;nm0000518;2014-03-10;M;John Malkovich;Being John Malkovich;1953-12-09
666;nm0788335;2014-03-10;M;Michael Shannon;Take Shelter;1974-08-07
667;nm0000640;2014-03-10;M;Martin Sheen;The Departed;1940-08-03
668;nm0001302;2014-03-10;M;Christopher Guest;This Is Spinal Tap;1948-02-05
669;nm0000614;2014-03-10;M;Alan Rickman;Die Hard;1946-02-21
670;nm0355097;2014-03-10;M;Jackie Earle Haley;Little Children;1961-07-14
671;nm0949574;2014-03-10;M;Gig Young;They Shoot Horses, Don't They?;1913-11-04
672;nm0000652;2014-03-10;M;James Spader;The Blacklist;1960-02-07
673;nm0051509;2014-03-10;M;Eric Bana;Dirty John;1968-08-09
674;nm0244151;2014-03-10;M;Romain Duris;De battre mon coeur s'est arrêté;1974-05-28
675;nm0001727;2014-03-10;M;Robert Shaw;A Man for All Seasons;1927-08-09
676;nm0915865;2014-03-10;F;Jacki Weaver;Silver Linings Playbook;1947-05-25
677;nm0067367;2014-03-10;F;Bérénice Bejo;The Artist;1976-07-07
678;nm2794962;2014-03-10;F;Hailee Steinfeld;True Grit;1996-12-11
679;nm0000492;2016-06-18;F;Jennifer Jason Leigh;The Hateful Eight;1962-02-05
680;nm0000599;2014-03-10;F;Kathleen Quinlan;Apollo 13;1954-11-19
681;nm0378245;2014-03-10;F;Taraji P. Henson;The Curious Case of Benjamin Button;1970-09-11
682;nm0752407;2014-03-10;F;Amy Ryan;Gone Baby Gone;1968-05-03
683;nm0002039;2014-03-10;F;Ruby Dee;American Gangster;1922-10-27
684;nm0001049;2014-03-10;F;Jill Clayburgh;Bridesmaids;1944-04-30
685;nm0056770;2014-03-10;F;Adriana Barraza;Babel;1956-03-05
686;nm0452860;2014-03-10;F;Rinko Kikuchi;Babel;1981-01-06
